LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.004420584, 13, 7, 15, 6, 4
Language_1, 0.000682166, 6, 4, 5, 3, 3
Language_2, 0.010236792, 21, 9, 25, 7, 6
Language_3, 0.000937, 7, 3, 7, 3, 3
Language_4, 0.008186625, 13, 7, 17, 14, 4
Language_5, 0.017071458, 21, 9, 23, 16, 6
Language_6, 0.006361834, 13, 7, 15, 10, 4
Language_7, 0.006751792, 13, 7, 17, 11, 4
Language_8, 0.007843292, 13, 7, 17, 10, 4
Language_9, 0.005050667, 13, 7, 15, 7, 4
Language_10, 0.023588458, 21, 9, 22, 22, 6
Language_11, 0.004725917, 13, 7, 15, 5, 4
Language_12, 0.0072165, 13, 7, 16, 11, 4
Language_13, 0.008008709, 13, 8, 15, 17, 4
Language_14, 0.008063667, 13, 7, 16, 15, 4
Language_15, 0.0063655, 13, 7, 16, 11, 4
Language_16, 0.006268625, 13, 7, 16, 12, 4
Language_17, 0.012698958, 22, 9, 23, 8, 6
Language_18, 0.001003917, 6, 3, 5, 5, 3
Language_19, 0.000190792, 3, 1, 2, 2, 2
Language_20, 0.00018925, 3, 0, 2, 2, 2
Language_21, 0.008643209, 13, 7, 16, 15, 4
Language_22, 0.00043575, 4, 2, 4, 2, 2
Language_23, 0.007553917, 13, 7, 16, 15, 4
Language_24, 0.014436375, 21, 9, 23, 20, 6
Language_25, 0.016094417, 21, 10, 21, 21, 6
Language_26, 0.0045235, 13, 7, 16, 7, 4
Language_27, 0.006829375, 13, 8, 15, 11, 4
Language_28, 0.006889709, 13, 8, 15, 11, 4
Language_29, 0.005143459, 13, 7, 14, 10, 4
Language_30, 0.020218709, 21, 9, 23, 22, 6
Language_31, 0.000244709, 3, 0, 2, 2, 2
Language_32, 0.000316583, 3, 0, 3, 3, 2
Language_33, 0.00035775, 4, 2, 4, 2, 2
Language_34, 0.000332584, 3, 0, 3, 3, 2
Language_35, 0.000445959, 6, 3, 4, 3, 3
Language_36, 0.006497625, 13, 7, 15, 15, 4
Language_37, 0.000354541, 4, 2, 4, 2, 2
Language_38, 0.005117166, 13, 7, 15, 12, 4
Language_39, 0.007590959, 13, 7, 15, 15, 4
Language_40, 0.008985167, 14, 7, 17, 15, 4
Language_41, 0.00018425, 3, 0, 2, 1, 1
Language_42, 0.006716416, 13, 7, 16, 13, 4
Language_43, 0.00576925, 13, 7, 16, 11, 4
Language_44, 0.000907417, 6, 4, 7, 5, 3
Language_45, 0.000584459, 6, 3, 6, 3, 3
Language_46, 0.000637292, 6, 3, 6, 4, 3
Language_47, 0.006883167, 13, 7, 18, 11, 4
Language_48, 0.014517667, 22, 9, 22, 16, 6
Language_49, 0.005477917, 13, 7, 15, 10, 4
Language_50, 0.00677175, 13, 7, 18, 12, 4
Language_51, 0.0030985, 13, 7, 14, 5, 4
Language_52, 0.000263625, 3, 0, 3, 2, 2
Language_53, 0.000157875, 3, 0, 2, 2, 2
Language_54, 0.006862209, 13, 7, 18, 14, 4
Language_55, 0.004898083, 13, 8, 18, 7, 4
Language_56, 0.017439, 22, 9, 22, 21, 6
Language_57, 0.007973709, 13, 7, 17, 13, 4
Language_58, 0.005643167, 13, 7, 17, 10, 4
Language_59, 0.017167958, 21, 9, 20, 16, 6
Language_60, 0.006412209, 13, 7, 15, 11, 4
Language_61, 0.018993541, 21, 9, 23, 22, 6
Language_62, 0.017085917, 21, 9, 21, 21, 6
Language_63, 0.000277583, 3, 1, 2, 2, 2
Language_64, 0.005094583, 13, 7, 17, 5, 4
Language_65, 0.005472333, 13, 7, 15, 10, 4
Language_66, 0.008391292, 13, 7, 16, 14, 4
Language_67, 0.000656625, 6, 3, 6, 3, 3
Language_68, 0.000559875, 6, 3, 6, 3, 3
Language_69, 0.00634825, 13, 8, 15, 12, 4
Language_70, 0.003553709, 13, 8, 15, 5, 4
Language_71, 0.0056655, 13, 8, 16, 11, 4
Language_72, 0.01504825, 22, 9, 22, 16, 6
Language_73, 0.00642525, 13, 7, 15, 14, 4
Language_74, 0.013614375, 22, 9, 22, 18, 6
Language_75, 0.005840417, 13, 7, 17, 10, 4
Language_76, 0.000614417, 6, 3, 5, 5, 3
Language_77, 0.006626666, 13, 8, 17, 13, 4
Language_78, 0.006030292, 13, 7, 17, 14, 4
Language_79, 0.00052825, 6, 3, 6, 4, 3
Language_80, 0.000105375, 3, 0, 2, 1, 1
Language_81, 0.000305333, 4, 2, 4, 2, 2
Language_82, 0.000208375, 3, 0, 3, 2, 2
Language_83, 0.010122709, 21, 10, 21, 20, 6
Language_84, 0.004330709, 13, 7, 17, 10, 4
Language_85, 0.003910459, 13, 7, 15, 10, 4
Language_86, 0.004752875, 13, 7, 16, 12, 4
Language_87, 0.00052275, 7, 3, 6, 3, 3
Language_88, 0.003968084, 13, 7, 15, 7, 4
Language_89, 0.010299375, 21, 9, 22, 20, 6
Language_90, 0.003450083, 13, 7, 17, 5, 4
Language_91, 0.003242959, 13, 8, 16, 6, 4
Language_92, 0.005265417, 13, 7, 17, 13, 4
Language_93, 0.0069985, 22, 9, 23, 8, 6
Language_94, 0.000239292, 3, 0, 3, 2, 2
Language_95, 0.000235625, 3, 1, 3, 2, 2
Language_96, 0.000128375, 3, 1, 2, 2, 2
Language_97, 0.004481834, 13, 7, 16, 11, 4
Language_98, 0.000451083, 6, 4, 5, 3, 3
Language_99, 0.000207084, 3, 0, 3, 2, 2

, 0.005752933, 11.68, 5.75, 13.2, 9.33, 3.81, 100